Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
MOCR,Moores Creek National Battlefield,National Battlefield,NC,"3,311,344",Total
FLFO,Florissant Fossil Beds National Monument,National Monument,CO,"3,227,198",Total
HOCU,Hopewell Culture National Historical Park,National Historical Park,OH,"3,226,903",Total
CHCU,Chaco Culture National Historical Park,National Historical Park,NM,"3,201,931",Total
ELMA,El Malpais National Monument,National Monument,NM,"3,163,814",Total
LIRI,Little River Canyon National Preserve,National Preserve,AL,"3,162,434",Total
FOST,Fort Stanwix National Monument,National Monument,NY,"3,033,233",Total
GWCA,George Washington Carver National Monument,National Monument,MO,"2,901,369",Total
PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,HI,"2,872,043",Total
ELMO,El Morro National Monument,National Monument,NM,"2,788,508",Total
ARPO,Arkansas Post National Memorial,National Memorial,AR,"2,709,228",Total
CONG,Congaree National Park,National Park,SC,"2,629,690",Total
EDIS,Thomas Edison National Historical Park,National Historic Site,NJ,"2,586,270",Total
GOSP,Golden Spike National Historic Site,National Historic Site,UT,"2,532,785",Total
KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,HI,"2,523,565",Total
BIHO,Big Hole National Battlefield,National Battlefield,MT,"2,516,553",Total
PISP,Pipe Spring National Monument,National Monument,AZ,"2,456,547",Total
HOME,Homestead National Monument of America,National Monument,NE,"2,446,917",Total
BUIS,Buck Island Reef National Monument,National Monument,VI,"2,436,890",Total
FLNI,Flight 93 National Memorial,National Memorial,PA,"2,422,983",Total
PETR,Petroglyph National Monument,National Monument,NM,"2,363,557",Total
GICL,Gila Cliff Dwellings National Monument,National Monument,NM,"2,195,383",Total
PECO,Pecos National Historical Park,National Historical Park,NM,"2,168,202",Total
HAMP,Hampton National Historic Site,National Historic Site,MD,"2,162,383",Total
CARL,Carl Sandburg Home National Historic Site,National Historic Site,NC,"2,148,109",Total
FRDO,Frederick Douglass National Historic Site,National Historic Site,DC,"2,100,875",Total
CIRO,City of Rocks National Reserve,National Reserve,ID,"2,079,402",Total
BEOL,Bent's Old Fort National Historic Site,National Historic Site,CO,"2,063,448",Total
HSTR,Harry S Truman National Historic Site,National Historic Site,MO,"2,040,847",Total
DRTO,Dry Tortugas National Park,National Park,FL,"2,004,566",Total
ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,NY,"1,926,003",Total
SAPU,Salinas Pueblo Missions National Monument,National Monument,NM,"1,887,492",Total
